track_name,artist_name
Cannonball (Breeders Cover),Cansei De Ser Sexy
Creep (Studio Brussel Version),Moby
Lovefool (Cardigans Cover),The Morning Benders
The Beautiful Ones,The Besnard Lakes
Don'T Look Back In Anger,Devendra Banhart
Born Slippy Nuxx,Get Well Soon
Exit Music (For A Film),Vampire Weekend
It'S Oh So Quiet,Bell
Breathless,Cat Power
Idioteque,Calico Horse
Kid A (Radiohead Cover),John Mayer
To You,Headless Heroes
Last Nite (The Strokes Cover),Adele
Toxic,Yael Naim
Time To Pretend,Mgmt
Weekend Wars,Mgmt
The Youth,Mgmt
Electric Feel,Mgmt
Kids,Mgmt
Cry Me A River (Justin Timberlake Cover),Gabriella Cilmi
Soul-Eater (So Scandalous),岩崎琢
Beautiful,The Zutons
Back To Black,Lightspeed Champion
Back To Black (Amy Winehouse Cover) (Bbc Radio 1),Elbow
Baby We'Ll Be Fine,Mobius Band
Knife,Ccs
Bleeding Love,The Wombats
With Every Heartbeat,The Futureheads
Everyting Is Average Nowadays (The Little Ones Cover),Kaiser Chiefs
Kids (Mgmt Cover),The Kooks
Tiger Mountain Peasant Song (Fleet Foxes Cover),First Aid Kit
Black & Gold,Guillemots
I Kissed A Girl,Mcfly
Womanizer,Lily Allen
Foam Hands (Destroyer Cover),Ruby Isle
December Song (I Dreamed Of Christmas),George Michael
Love Is A Circle (Album Version),Monsieur Minimal
Silk (Album Version),Monsieur Minimal
B.M.F.,Monsieur Minimal
Relaxation (Album Version),Monsieur Minimal
B.M.F. (The Flying Silly Brothers Remix),Monsieur Minimal
Santa Baby,Eartha Kitt
Where Is My Man,Eartha Kitt
Speak Low,Eartha Kitt
My Heart Belongs To Daddy,Eartha Kitt
Smoke Gets In Your Eyes,Eartha Kitt
Running Up That Hill (A Deal With God),Kate Bush
Symphony In Blue,Kate Bush
In Search Of Peter Pan,Kate Bush
Wow,Kate Bush
Don'T Push Your Foot On The Heartbrake,Kate Bush
Oh England My Lionheart,Kate Bush
Fullhouse,Kate Bush
In The Warm Room,Kate Bush
Kashka From Baghdad,Kate Bush
Coffee Homeground,Kate Bush
Hammer Horror,Kate Bush
Moving,Kate Bush
The Saxophone Song,Kate Bush
Strange Phenomena,Kate Bush
Kite,Kate Bush
The Man With The Child In His Eyes,Kate Bush
Wuthering Heights,Kate Bush
James And The Cold Gun,Kate Bush
Feel It,Kate Bush
Oh To Be In Love,Kate Bush
L'Amour Looks Something Like You,Kate Bush
Them Heavy People,Kate Bush
Room For The Life,Kate Bush
The Kick Inside,Kate Bush
Babooshka,Kate Bush
Delius (Song Of Summer),Kate Bush
Blow Away (For Bill),Kate Bush
All We Ever Look For,Kate Bush
Egypt,Kate Bush
The Wedding List,Kate Bush
Violin,Kate Bush
The Infant Kiss,Kate Bush
Night Scented Stock,Kate Bush
Army Dreamers,Kate Bush
Breathing,Kate Bush
Sat In Your Lap,Kate Bush
There Goes A Tenner,Kate Bush
Pull Out The Pin,Kate Bush
Suspended In Gaffa,Kate Bush
Leave It Open,Kate Bush
The Dreaming,Kate Bush
Night Of The Swallow,Kate Bush
Houdini,Kate Bush
Get Out Of My House,Kate Bush
The Sensual World,Kate Bush
Love And Anger,Kate Bush
The Fog,Kate Bush
Reaching Out,Kate Bush
Heads We'Re Dancing,Kate Bush
Deeper Understanding,Kate Bush
Between A Man And A Woman,Kate Bush
Never Be Mine,Kate Bush
Rocket'S Tail,Kate Bush
This Woman'S Work,Kate Bush
Walk Straight Down The Middle,Kate Bush
Hounds Of Love,Kate Bush
The Big Sky,Kate Bush
Mother Stands For Comfort,Kate Bush
Cloudbusting,Kate Bush
And Dream Of Sheep,Kate Bush
Under Ice,Kate Bush
Waking The Witch,Kate Bush
Watching You Without Me,Kate Bush
And So Is Love,Kate Bush
You'Re The One,Kate Bush
Love Is A Losing Game,Amy Winehouse
Archangel,Burial
Weird Fishes/Arpeggi,Radiohead
It Had Better Be Tonight (Meglio Stasera),Michael Bublé
Raver,Burial
Part Of The Process,Morcheeba
Mourning Air (War Child),Portishead
Shell Of Light,Burial
Transparent,Pet Shop Boys
The Sea,Morcheeba
Glory Box (Mudflop Mix),Portishead
Blindfold,Morcheeba
Wandering Star (Live),Portishead
Etched Headplate,Burial
Over And Over,Morcheeba
Numb,Portishead
Let Me See,Morcheeba
Near Dark,Burial
Moog Island,Morcheeba
Homeless,Burial
Road To Somewhere,Goldfrapp
Videotape,Radiohead
Spies,Coldplay
Little Bird,Goldfrapp
Numbed In Moscow,Portishead
Any Other World,Mika
We Never Change,Coldplay
Integral,Pet Shop Boys
Brakes,Erik Faber
All I Need,Radiohead
I Heard Love Is Blind,Amy Winehouse
High Speed,Coldplay
Bird Girl,Antony And The Johnsons
Girls Don'T Cry,Pet Shop Boys
Sheared Box,Portishead
Luna Park,Pet Shop Boys
"O Come, All Ye Faithful",Belle And Sebastian
Christmas Time,Belle And Sebastian
Santa Claus,Belle And Sebastian
"Step Into My Office, Baby",Belle And Sebastian
Jonathan David,Belle And Sebastian
Something Changed,Pulp
Monday Morning,Pulp
Live Bed Show,Pulp
I Spy,Pulp
Common People,Pulp
F.E.E.L.I.N.G.C.A.L.L.E.D.L.O.V.E,Pulp
Underwear,Pulp
Bonus Track,Chris Garneau
The Resurrectionist,Pet Shop Boys
You Only Tell Me You Love Me When You'Re Drunk,Pet Shop Boys
Monochrome,Yann Tiersen
Monochrome,Dominique A
Her Eyes Are Underneath The Ground,Antony And The Johnsons
Epilepsy Is Dancing,Antony And The Johnsons
One Dove,Antony And The Johnsons
Kiss My Name,Antony And The Johnsons
The Crying Light,Antony And The Johnsons
Another World,Antony And The Johnsons
Daylight And The Sun,Antony And The Johnsons
Aeon,Antony And The Johnsons
Dust And Water,Antony And The Johnsons
Everglade,Antony And The Johnsons
Something Is Squeezing My Skull,Morrissey
Mama Lay Softly On The Riverbed,Morrissey
Black Cloud,Morrissey
I'M Throwing My Arms Around Paris,Morrissey
When Last I Spoke To Carol,Morrissey
L'Amour,Dominique A
La Relève,Dominique A
Bowling,Dominique A
Le Courage Des Oiseaux,Dominique A
Pour La Peau,Dominique A
Exit,Dominique A
Marina Tsvétaéva,Dominique A
La Mémoire Neuve,Dominique A
Antonia,Dominique A
Tout Sera Comme Avant,Dominique A
Music Hall,Dominique A
Revoir Les Choses,Dominique A
L'Horizon,Dominique A
Le Commerce De L'Eau,Dominique A
Empty White Blues,Dominique A
Silence,Portishead
Hunter,Portishead
Nylon Smile,Portishead
The Rip,Portishead
Plastic,Portishead
We Carry On,Portishead
Deep Water,Portishead
Machine Gun,Portishead
Small,Portishead
Magic Doors,Portishead
Threads,Portishead
Toy Box,Portishead
Blue On Blue,Pet Shop Boys
Left To My Own Devices (Art Of Mix),Pet Shop Boys
Scorn,Portishead
Song For H,Erik Faber
Little Playmate,Mikael Delta
Jasmine,Mikael Delta
On The Edge,Mikael Delta
Telepathy,Mikael Delta
Ritual,Mikael Delta
Forward Movement,Mikael Delta
Affection,Mikael Delta
One Word,Anouk
Free At Least,Bliss
Si Seulement Je Pouvais Lui Manquer,Calogero
Singles,Closer
The Everlasting,Manic Street Preachers
Uk,Burial
Preparations For The Last Tv Fake,Yann Tiersen
This Time It'S Goodbye,Perry Blake
Meon,Archive
All At Sea,Jamie Cullum
Andalucía,Pink Martini
Snow,Craig Armstrong
Root Beer,Thomas Newman
Fuck Me Pumps (Mylo Remix),Amy Winehouse
Edible Flowers (Radio Edit),The Finn Brothers
Fingers Of Steel,Sébastien Tellier
Dream Of A Disco,Marsheaux
Papadam,Yonderboi
The Decant Session,Yann Tiersen
In The Country,Zbigniew Preisner
Nude,Radiohead
Fuck Me I´M Famous (Reverse Cowgirl Remix),Robert Vadney
Improving,Raining Pleasure
Broken Hearted Hoover Fixer Sucker Guy,Glen Hansard
Final Fantasy 6 'Squaresoft Variation' Oc Remix,Jeremy Soule
The Queen Is Dead,The Smiths
She Moved Through The Fair,Feargal Sharkey
Club Tropicana,Wham!
Fairground,Simply Red
Grillos,Paco Fernández
I Want A Lip,April Stevens
La Esquina,Federico Aubele
Here Comes The Rain Again,Eurythmics
Morning Breaks,Craig Armstrong
Roche,Sébastien Tellier
Keep Me Warm,Ida Maria
Mi Sono Innamorato Di Te,Luigi Tenco
Ho Capito Che Ti Amo,Luigi Tenco
S' Agapisa,Λένα Πλάτωνος
Thalassa,Λένα Πλάτωνος
Future Science,Astyplaz
Love In December ( Johan Angergard ),Club 8
Broken ( Marseaux Remix ),Bertine Zetlitz
Through Your Eyes,Lunik
Single ( Brad Wood Merphis Remix ),E.B.T.G
Wonders Never Cease,Morcheeba
Into Everything,Telepopmusik Feat. Deborah Anderson
Keep Moving,Ivy
What Else Is There?,Röyksopp
Dream About Me,Moby
Malo,Bebe
If We'Re In Love (Edit),Róisín Murphy
Big City Life,Mattafix
Precious,Depeche Mode
Escape (Driving To Heaven),16B
Life In Disguise,The Slip
Swans,Unkle Bob
Stains Of Saints,The Weather Machines
Roboxulla,The Jealous Girlfriends
Falling Or Flying,Grace Potter And The Nocturnals
Hold You In My Arms,Ray Lamontagne
Closer,Coburn
Eulogy,The Hereafter
Canon In D Major,Johann Pachelbel
Explosions,The Mary Onettes
Keep Breathing,Ingrid Michaelson
Burning,The Whitest Boy Alive
Clean Getaway,Maria Taylor
A Good Start,Maria Taylor
Better Off,Let'S Go Sailing
Again And Again,The Bird And The Bee
Nausea,Beck
How Am I Doing,Anna Waronker
Lost,The Mary Onettes
Turpentine,Brandi Carlile
California,Bob O'Neill
Ain'T Nothing Wrong With That,Robert Randolph & The Family Band
Wake Up Alone,Amy Winehouse
Breathe (2 Am),Anna Nalick
Miss You Love,Maria Mena
Song Beneath The Song,Maria Taylor
The Time Is Now,Moloko
The Mating Game,Bitter:Sweet
Open Your Eyes,Snow Patrol
Fools In Love,Inara George
Cosy In The Rocket,Psapp
Standing In The Way Of Control,Gossip
So:Lo,Kate Havnevik
Kaleidoscope,Kate Havnevik
Cobrastyle,Teddybears Sthlm & Mad Cobra
The Way I Am,Iningrid Michaelson
Dobranoc,Breaking The Wave
Superstar,Sonic Youth
Fade Into You,Mazzy Star
Undress Me Now (Instrumental),Morcheeba
With You,Stars Of Track And Field
Taste You,Auf Der Maur
Interlude,Morrissey & Siouxsie
It'S Always Been You,Thomas Dybdahl
"Here Today, Gone Tomorrow",Rooney
#1 Crush,Garbage
L'Amour À La Française,Les Fatals Picards
Breathe Me,Sia
As Lovers Go (Ron Fair Remix),Dashboard Confessional
Life Is Wonderful,Jason Mraz
This Is The Last Time,Keane
My Skin,Natalie Merchant
Gold Dust,Tori Amos
The Kill (Acoustic),30 Seconds To Mars
Pardon Me (Acoustic),Incubus
My Lighthouse,Pulp
Wishful Thinking,Pulp
Joking Aside,Pulp
Boats And Trains,Pulp
Blue Girls,Pulp
Love Love,Pulp
In Many Ways,Pulp
Looking For Life,Pulp
Fairground,Pulp
I Want You,Pulp
Being Followed Home,Pulp
Master Of The Universe,Pulp
Life Must Be So Wonderful,Pulp
There'S No Emotion,Pulp
Anorexic Beauty,Pulp
The Never-Ending Story,Pulp
Don'T You Know,Pulp
They Suffocate At Night,Pulp
Love Is Blind,Pulp
Don'T You Want Me Anymore?,Pulp
She'S Dead,Pulp
Separations,Pulp
Down By The River,Pulp
Countdown,Pulp
My Legendary Girlfriend,Pulp
Death Ii,Pulp
This House Is Condemned,Pulp
Joyriders,Pulp
Lipgloss,Pulp
Acrylic Afternoons,Pulp
Have You Seen Her Lately?,Pulp
Babies,Pulp
She'S A Lady,Pulp
Happy Endings,Pulp
Do You Remember The First Time?,Pulp
Pink Glove,Pulp
Someone Like The Moon,Pulp
Little Girl (With Blue Eyes),Pulp
Simultaneous,Pulp
Blue Glow,Pulp
The Will To Power,Pulp
Dogs Are Everywhere,Pulp
Mis-Shapes,Pulp
Pencil Skirt,Pulp
Disco 2000,Pulp
Sorted For E'S And Whizz,Pulp
Bar Italia,Pulp
Mile End,Pulp
Under The Influence,James Morrison
Wonderful World,James Morrison
The Pieces Don'T Fit Anymore,James Morrison
One Last Chance,James Morrison
Undiscovered,James Morrison
The Letter,James Morrison
Call The Police,James Morrison
This Boy,James Morrison
Untrue,Burial
Col,Morcheeba
Fear And Love,Morcheeba
Dog Shelter,Burial
[Untitled],Burial
Sleep,Conjure One
Endless Dream (Feat. Poe),Conjure One
Face The Music (Feat. Tiff Lacey),Conjure One
Pilgrimage (Feat. Joanna Stevens And Leah Randi),Conjure One
One Word (Feat. Poe),Conjure One
I Believe (Feat. Pete Shelley),Conjure One
Beyond Being (Feat. Leah Randi),Conjure One
Extraordinary Ways (Feat. Poe),Conjure One
Dying Light (Feat. Joanna Stevens),Conjure One
Forever Lost (Feat. Chemda),Conjure One
Into The Escape (Feat. Chemda),Conjure One
Damascus (Feat. Chemda),Conjure One
Center Of The Sun (Feat. Poe),Conjure One
Tears From The Moon (Feat. Sinéad O'Connor),Conjure One
Tidal Pool (Feat. Chemda),Conjure One
Manic Star (Feat. Marie Clair D'Ubaldo),Conjure One
Redemption (Feat. Chemda),Conjure One
Years (Feat. Chemda),Conjure One
Make A Wish (Feat. Poe),Conjure One
Satellite Girl (Feat. Mel Garside),Conjure One
Sleep (Feat. Marie Claire D'Ubaldo),Conjure One
Premonition (Feat. Jeff Martin),Conjure One
"Redemption (Live, San Diego)",Conjure One
"Sleep (Live, Montreal)",Conjure One
Good Friday,Elvis Perkins
While You Were Sleeping,Elvis Perkins
Old Artist,Archive
All Time,Archive
So Few Words,Archive
Headspace,Archive
Darkroom,Archive
Londinium,Archive
Man-Made,Archive
Nothing Else,Archive
Skyscraper,Archive
Parvaneh (Butterfly),Archive
Beautiful World,Archive
Organ Song,Archive
Last Five,Archive
Again,Archive
Goodbye,Archive
Now And Then,Archive
Seamless,Archive
Finding It So Hard,Archive
Fool,Archive
Hate,Archive
Need,Archive
Forever Lost,The Magic Numbers
Everything Changes,Markus Fagervall
Interlude,Elisa
Karmacoma,Massive Attack
Ode To L.A.,The Raveonettes
The Reason,Hoobastank
You Light Up My Life,Whitney Houston
Beautiful Liar,Beyoncé
Nothing Else Matters,Lucie Silvas
Ma Mémoire Sale,Louis Garrel
Street Map,Athlete
Domino Dancing,Pet Shop Boys
Number One Friend,The Silencers
Parachutes,Coldplay
Everything'S Not Lost,Coldplay
A Ma Manière,Dalida
Bambino,Dalida
Besame Mucho,Dalida
Ciao Ciao Bambina,Dalida
Come Prima,Dalida
Comme Disait Mistinquett,Dalida
Fini La Comedie,Dalida
Gigi L'Amoroso,Dalida
Gondilier,Dalida
Histoire D'Un Amour,Dalida
Il Venait D'Avoir Dix-Huit Ans,Dalida
J'Attendrai,Dalida
Laissez-Moi Danser,Dalida
Lambeth Walk,Dalida
Les Enfants Du Piree,Dalida
Mourir Sur Scene,Dalida
Parle Plus Bas,Dalida
"Paroles, Paroles",Dalida
Rio Do Brazil,Dalida
Salma Ya Salama,Dalida
I Will Always Love You,Whitney Houston
Hello,Lionel Richie
Right Here Waiting,Richard Marx
I Just Can'T Stop Loving You,Michael Jackson
Truly Madly Deeply,Savage Garden
I Want To Know What Love Is,Foreigner
Lady In Red,Chris De Burgh
No Ordinary Love,Sade
How Am I Supposed To Live Without You,Michael Bolton
Baby Come To Me,Patti Austin & James Ingram
If You Leave Me Now,Chicago
Slave To Love,Bryan Ferry
It Must Have Been Love,Roxette
Nothing Compares To You,Sinéad O'Connor
Purple Rain,Prince
I Remember Love,Sarah Dawn Finer
Trying To Recall,Marie Lindberg
Cara Mia (Aucoustic Version),Mεns Zelmerlφw
För Att Du Finns,Sonja Aldén
Evighet,Tomas Andersson Wij
Öppna Din Dörr,Danny
Jag Tror På Människan,Tommy Nilsson
Jag Måste Skynda Mig På,Lena & Orup
I Can'T Say Im Sorry,Erik Segerstedt
Alone,Jens Johansson
Everything But The Girl,Darin
Beautiful,Christina Aguilera
Everywhere,Pink Martini
Tempo Perdido,Pink Martini
Mar Desconocido,Pink Martini
Taya Tan,Pink Martini
City Of Night,Pink Martini
Ojalá,Pink Martini
On The Way Home,Your Hand In Mine
Calendar,Your Hand In Mine
At The Bar I,Your Hand In Mine
Neighbours,Your Hand In Mine
The Stranger,Your Hand In Mine
Tea Time,Your Hand In Mine
Sudative Luminareten,Your Hand In Mine
Apprentice Workmen Needed...,Your Hand In Mine
At The Bar Ii,Your Hand In Mine
Father & Son,Your Hand In Mine
At The Bar Iii,Your Hand In Mine
A Walk,Your Hand In Mine
Turndown,Your Hand In Mine
Dinner,Your Hand In Mine
No Luck With Jobs,Your Hand In Mine
Fumio,Your Hand In Mine
The Decision,Your Hand In Mine
Siren,Your Hand In Mine
"Please, Surrender",Your Hand In Mine
Take Care Of Our Son,Your Hand In Mine
Outro,Your Hand In Mine
Intro,Your Hand In Mine
Όταν Η Γη Θα Εκραγεί,Γιάννης Παλαμίδας
Lovelife,Atmosphere
Cocaine Man,Baxter Dury
Nothing Owed,Bonobo
Keep It Clean,Camera Obscura
The Pin,Κωνσταντίνος Βήτα
The Seed,Cody Chesnutt
Walk A Mile (French Radio Edit),Coldcut
Reverie,Crustation With Bronagh Slevin
Going To Where The Tea Trees Are,Peter Von Poehl
Ένα,Mikael Delta
Love Etc.,Pet Shop Boys
My Mirror,Tina Dickow
What'S A Girl To Do?,Bat For Lashes
Sunset Borderline,Sandi Thom
Don'T Look Down,Tindersticks
Static Believer,Peter Brame
Ofen Aus Glas,Element Of Crime
Lady,Little River Band
Play Hurt,The American Analog Set
Mary Please,The Brian Jonestown Massacre
Further To Fall,Trembling Blue Stars
When I See You Smile,John Waite
Price Of Gas,Bloc Party
Whole Wide World,Wreckless Eric
Clyde,The Twilight Singers
Tonight You Belong To Me,The Bird And The Bee
Your Smiling Face,James Taylor
The Way You Look Tonight,Rod Stewart
Please Forgive Me,Bryan Adams
Digital Love,Daft Punk
Wonderful Tonight,Eric Clapton
New Drifters Iii,The American Analog Set
I Will Follow You Into The Dark,Death Cab For Cutie
The Past And Pending,The Shins
Save Your Scissors,City And Colour
Dream Catch Me,Newton Faulkner
It Don'T Matter,Donavon Frankenreiter
If You Don'T Wanna Love Me,James Morrison
Capri,Colbie Caillat
Let My Love Open The Door,Sondre Lerche
Constellations,Jack Johnson
"On Love, In Sadness",Jason Mraz
Naked As We Came,Iron & Wine
What If You,Joshua Radin
Hey There Delilah,Plain White T'S
Make Yourself (Acoustic),Incubus
Last Of Days,A Fine Frenzy
Remain,José González
Thirteen,Elliott Smith
Nei Garage A Milano Nord,Le Luci Della Centrale Elettrica
The Stranger Song,Leonard Cohen
Burro,Beck
A Lack Of Color,Death Cab For Cutie
Which Will,Nick Drake
If You Were A Sailboat,Katie Melua
Live Long,Kings Of Convenience
Note To Self:,Owen
A Hole In The World,Thursday
Southern Anthem,Iron & Wine
And Embers Rise,Killswitch Engage
Lesson Learned,Ray Lamontagne
A Lonely September,Plain White T'S
Trouble'S What You'Re In,Fink
I'M Yours,Jason Mraz
What'S A Boy To Do,Mat Kearney
City Bird,Of Montreal
A Love That Will Never Grow Old,Emmylou Harris
Society,Eddie Vedder
Your Revolution Is A Joke,Funeral For A Friend
Sunday Best,Augustana
Supernova,Antony And The Johnsons
Anthony And The Johnsons - God With No Tear,Antony And The Johnsons
Hitler In My Heart - Anthony & The Johnsons,Antony And The Johnsons
Be My Husband,Antony And The Johnsons
Antony And The Johnsons - Perfect Day,Antony And The Johnsons
Soft Black Stars,Antony And The Johnsons
Anthony And The Johnsons - Stand Above Me,Antony And The Johnsons
Cross My Heart,Everything But The Girl
The One I Love,R.E.M.
Love Will Come Through,Travis
Calling You,Blue October
All You Wanted,Michelle Branch
I Love You,The Bees
Every Night'S Another Story,The Early November
Til Kingdom Come,Coldplay
Different Ways,A Secret Sense
Fall Line,Jack Johnson
Knights Of The Island Counter,Dave Melillo
Suddenly - Instrumental,A Secret Sense
Cookie Jar,Jack Johnson
Childhood,Frozen Silence
Whatever It Is,Ben Lee
Autumn Leaves,Eva Cassidy
Cannonball,Damien Rice
A Love Story,Thomas Dybdahl
Lovers Dream,Anna Ternheim
All The Love,Tindersticks
Ready For Love,India.Arie
Only You,Joshua Radin
Be Be Your Love,Rachael Yamagata
Whisper,A Fine Frenzy
Think Of You,A Fine Frenzy
Love,John Lennon
Love Story,Taylor Swift
You Could Be Happy,Snow Patrol
Bleeding Love,Leona Lewis
The Luckiest,Ben Folds
Fallin' Apart,The All-American Rejects
Fall For You,Secondhand Serenade
As Lovers Go,Dashboard Confessional
Your Magic Is Working,Of Montreal
Brighter Than Sunshine,Aqualung
Don'T Speak,No Doubt
Everybody'S Gotta Learn Sometimes,Beck
Lay Lady Lay,Bob Dylan
I Want To Save You,Something Corporate
Cry,Rihanna
A Thousand Miles,Vanessa Carlton
I Dare You To Move,Switchfoot
Angel,Sarah Mclachlan
Hold Me,Savage Garden
Wicked Game,Chris Isaak
Inside My Love,Minnie Riperton
Blue Light,Bloc Party
Teeth In The Grass,Iron & Wine
Tout Doucement,Feist
Universal Traveler,Air
Midnight,Joanna Botmang
If I Only Had A Brain,The Flaming Lips
Everyday I Love You Less And Less (Spike Stent Remix),Kaiser Chiefs
Year Of The Boar,Sufjan Stevens
Your Life,Modest Mouse
Modest Mouse - Bukowski,Modest Mouse
Placebo Headwound,The Flaming Lips
Catastrophie,Devendra Banhart
Leisure Suite,Feist
Woman King,Iron & Wine
Wagon Ride Return,Modest Mouse
Sunset Soon Forgotten,Iron & Wine
Waitin' For A Superman (Mokran Mix),The Flaming Lips
Amourissima,Feist
Forever,Devendra Banhart
Niagara Falls,Sufjan Stevens
Cherry Blossom Girl,Air
For Money Or Love,The Like Young
Bo Diddley,Bo Diddley
Life Goes On,Kaito
P.D.A. (We Just Don'T Care),John Legend
A Teenager In Love,The Pains Of Being Pure At Heart
Mais Uma Canção,Los Hermanos
Coffee,Copeland
Footprints In The Sand,Leona Lewis
Kiss Me,Sixpence None The Richer
Addicted,Enrique Iglesias
Just Like Heaven,The Cure
It'S Good To Be In Love,Frou Frou
Samson,Regina Spektor
Bubbly,Colbie Caillat
Wire To Wire,Razorlight
Casey'S Song,City And Colour
She Will Be Loved,Maroon 5
Headfirst Slide Into Cooperstown On A Bad Bet,Fall Out Boy
Juno,Tokyo Police Club
Missile,Iamx
My Best,Vanessa Carlton
Get Together,Madonna
Loving You,Paolo Nutini
Love Me Two Times,The Doors
Your Body Is A Wonderland,John Mayer
Don'T Worry Baby,The Beach Boys
Like A Song,Lenka
Stand By Me,Ben E. King
Angels,Robbie Williams
New American Classic,Taking Back Sunday
Love At First Sight,Kylie Minogue
Fifteen,Taylor Swift
No One,Alicia Keys
I Thought I Could Find You,Paul Baribeau
Cast No Shadow,Oasis
True Love,Phil Wickham
With You,Chris Brown
Guernica,Brand New
Careful Where You Stand,Coldplay
27,Fall Out Boy
Run,Snow Patrol
Boston,Augustana
Lost Without U,Robin Thicke
Angel,Aerosmith
So High,John Legend
I Will Be,Leona Lewis
There You'Ll Be,Faith Hill
Inevitable,Anberlin
The Warmth,Incubus
Whatever It Takes,Lifehouse
You,Axle Whitehead
Under The Covers,The Spill Canvas
A Lovestory,Thomas Dybdahl
Breathe Into Me,Red
If You Want Me,Glen Hansard & Markéta Irglová
Falling Slowly,Glen Hansard & Markéta Irglová
When Your Mind'S Made Up,Glen Hansard & Markéta Irglová
Lies,Glen Hansard
Gold,Interference
The Hill,Markéta Irglová
Fallen From The Sky,Glen Hansard
Leave,Glen Hansard
Trying To Pull Myself Away,Glen Hansard
All The Way Down,Glen Hansard
Once,Glen Hansard & Markéta Irglová
Say It To Me Now,Glen Hansard
De Bonnes Raisons,Louis Garrel & Ludivine Sagnier
Inventaire,Ludivine Sagnier & Louis Garrel
La Bastille,"Ludivine Sagnier, Jean-Marie Winling, Alice Butaud, Chiara Mastroianni & Brigitte Rouan"
Je N'Aime Que Toi,"Ludivine Sagnier, Louis Garrel & Clotilde Hesme"
Brooklyn Bridge,Alex Beaupain
Delta Charlie Delta,Louis Garrel
Il Faut Se Taire,Louis Garrel & Clotilde Hesme
As-Tu Déjà Aimé ?,Grégoire Leprince-Ringuet & Louis Garrel
Les Yeux Au Ciel,Louis Garrel
La Distance,Grégoire Leprince-Ringuet & Louis Garrel
Annie Waits,Ben Folds
I Just Called To Say I Love You,Pelle Carlberg
I Would Die For You,Jann Arden
Sleepless (Remix),Jann Arden
If It Be Your Will,Jann Arden
Will You Remember Me,Jann Arden
The Voice Of Love Is Crying,Colatron
Blue Rigby,Wax Audio
Twin Hearts,Colatron
Heaven'S Drive-In,Phil Retrospector
Tori'S Deranged,Wax Audio
Something Stupid This Way Comes,G3Rst
I'Ll Be There In Twin Peaks,Colatron
Don'T Go All Wicked On Me,Neiltomo
Eraserhead Serenade,Riaa
Lauren'S Opus,The Reborn Identity
Frank'S Here,The Who Boys
The Elephant Connection,The Reborn Identity
I'Ve Told Every Little Pumpkin,Totom
Violent At Heart,The Reborn Identity
Velvet Dreams,Voicedude
In My Twin Life,Phil Retrospector
The Pink Jack,Wax Audio
Livin' La Vida,Divide & Kreate
Do You Hear Rainbows I Hear (Apollo Zero Reconstruct),Apollo Zero
Lost Without Careless Whisper,Apollo Zero
Careless Or Dead (Bootie Version),The Kleptones
A Knocking Day In The Life,Semato1
Crazy Logic,Arty Fufkin
Another Boot In The Wall,Dj Earlybird
Egyptian Canonball,Dj Moule
Only Billie,Lock3Down
Are You Gonna Be My Next Episode,Cheekyboy
Sweet Renegade Thing Master,Johnny Bootleg
Primal Jeans,Arty Fufkin
Losing My Advertising Space,Dj Payroll
Eleanor And The Boys,Comar
Happy_Friends,Dj Zebra
Give Losers A Chance,Arty Fufkin
Close To Faith,Dj Tripp
Around_The_World_On_New_Years_Day,Martinn
Home And Marre,Huerzo
Killed In Excess Processor Tournesol,Samourai Dc
Love Will Freak Us,Dsico
Crazy Little Fool,Go Home Productions
No_One_Takes_Your_Freedom,Dj Earworm - Scissor Sisters
Call Me Hung Up (Blondie Vs. Madonna),A Plus D
Can I Have It Like A Backstreet Boy,Pheugoo
Girls Just Wanna Dance With Somebody,Dj Earlybird
Madonna Vs Depeche Mode - Like Jesus Or Not (Apollo Zero Reconstruct),Apollo Zero
Numb Fuzz,Apollo Zero
Toxic Fuzz,Celebrity Murder Party
Genie From Nowhere,Electrosound
The Sweet Move,Totom
The Forgotten Dub,Ldm101
Smack It Right,Mei-Lwun
Four Twenty  [One-Hit Edit],Voicedude
(Here Comes The) Champ In Black,"Dj Bc, Solcofn And Comar"
Cosmic Hey Ya,Totom
Dip It Joe,Pheugoo
When You Were A Starlight,Team9
Bjorn Slippy,Lenlow
She Is Glamorous,Lobsterdust
Promiscuous Lola,Dj Earworm - Sarah Vaughan Vs. Nelly Furtado
Standing In The Way Of Connection (The Gossip Vs. Elastica),A Plus D
Roxanne Clubbed To Death,Aggro1
When The Pussycat Dolls Cry,Pheugoo
Promiscuous With You,Party Ben
Take Me Home (Ambient Asian Rain Mix),Bobby Martini
Your Film Music Is So Vain,Totom
Love Is A Stranger,Eurythmics
Sweet Dreams (Are Made Of This),Eurythmics
Who'S That Girl,Eurythmics
Right By Your Side,Eurythmics
Would I Lie To You,Eurythmics
There Must Be An Angel,Eurythmics
Sisters Are Doin' It For Themselves,Eurythmics
It'S Alright (Baby'S Coming Back),Eurythmics
When Tomorrow Comes,Eurythmics
Thorn In My Side,Eurythmics
Missionary Man,Eurythmics
You Have Placed A Chill In My Heart,Eurythmics
I Need A Man,Eurythmics
I Saved The World Today,Eurythmics
17 Again,Eurythmics
Was It Just Another Love Affair?,Eurythmics
I Swear,All-4-One
Suddenly,Billy Ocean
Tell Him,Celine Dion & Barbra Streisan
Hurt,Christina Aguilera
When You Tell Me That You Love Me,Diana Ross
All By Myself,Céline Dion
Amazed,Lonestar
